City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Victoria,HK,2022-10-11 22:17:37,22.2855,114.1577,74.32,51,8,13.0
96,Arraial Do Cabo,BR,2022-10-11 22:21:14,-22.9661,-42.0278,72.25,84,53,27.83
97,Manali,IN,2022-10-11 22:21:14,13.1667,80.2667,82.49,81,70,5.61
98,Kyra,RU,2022-10-11 22:21:15,49.5776,111.9753,34.36,80,100,5.06
99,Mar Del Plata,AR,2022-10-11 22:17:20,-38.0023,-57.5575,59.02,81,0,11.5
100,Harper,LR,2022-10-11 22:16:30,4.375,-7.7169,76.68,88,94,7.83
101,Faanui,PF,2022-10-11 22:12:24,-16.4833,-151.75,77.63,78,51,16.98
102,Qaanaaq,GL,2022-10-11 22:13:32,77.484,-69.3632,5.29,62,56,7.11
103,Suhbaatar,MN,2022-10-11 22:20:54,50.2314,106.2078,33.49,86,5,3.74
104,Los Llanos De Aridane,ES,2022-10-11 22:21:17,28.6585,-17.9182,67.75,73,0,10.36
105,Sao Filipe,CV,2022-10-11 22:13:32,14.8961,-24.4956,80.1,77,73,10.04
106,Saint-Philippe,RE,2022-10-11 22:13:33,-21.3585,55.7679,69.39,74,46,10.42
107,Tiksi,RU,2022-10-11 22:14:59,71.6872,128.8694,21.61,81,100,19.33
108,Lyngseidet,NO,2022-10-11 22:21:18,69.5763,20.2189,48.2,96,99,8.93
109,Abrau-Dyurso,RU,2022-10-11 22:21:19,44.69,37.59,40.46,56,5,7.11
110,Hambantota,LK,2022-10-11 22:12:13,6.1241,81.1185,77.79,85,25,12.77
111,Vaini,TO,2022-10-11 22:15:03,-21.2,-175.2,77.16,78,75,10.36
112,Lata,PT,2022-10-11 22:21:20,40.1629,-8.3327,62.08,93,0,1.41
113,Manta,EC,2022-10-11 22:17:29,-0.95,-80.7333,73.18,78,100,6.91
114,Odessa,UA,2022-10-11 22:20:16,46.4775,30.7326,54.12,52,20,4.63
115,Pevek,RU,2022-10-11 22:08:30,69.7008,170.3133,25.43,84,100,21.83
116,Mahebourg,MU,2022-10-11 22:16:29,-20.4081,57.7,70.09,78,40,8.05
117,Kaitangata,NZ,2022-10-11 22:13:27,-46.2817,169.8464,52.23,44,43,0.98
118,Paragominas,BR,2022-10-11 22:21:22,-2.9667,-47.4833,80.51,58,99,2.66
119,Kemijarvi,FI,2022-10-11 22:21:22,66.7131,27.4306,42.15,90,100,10.13
120,Barabai,ID,2022-10-11 22:21:23,-2.5833,115.3833,72.91,97,100,1.72
121,Chiredzi,ZW,2022-10-11 22:21:23,-21.05,31.6667,70.2,50,0,3.47
122,Hervey Bay,AU,2022-10-11 22:21:24,-25.2986,152.8535,67.01,80,37,8.99
123,Touros,BR,2022-10-11 22:21:24,-5.1989,-35.4608,78.04,74,85,19.19
124,Thompson,CA,2022-10-11 22:21:25,55.7435,-97.8558,55.56,76,100,6.91
125,Broken Hill,AU,2022-10-11 22:10:43,-31.95,141.4333,67.1,49,100,11.1
126,Zacualpan,MX,2022-10-11 22:21:26,21.25,-105.1667,101.82,64,12,4.7
127,Luderitz,NA,2022-10-11 22:15:09,-26.6481,15.1594,66.22,63,3,9.93
128,Nanortalik,GL,2022-10-11 22:12:12,60.1432,-45.2371,33.51,78,34,8.16
129,Kodiak,US,2022-10-11 22:21:27,57.79,-152.4072,45.91,49,75,10.36
130,Nampula,MZ,2022-10-11 22:21:27,-15.1165,39.2666,71.55,88,40,4.61
131,Souillac,MU,2022-10-11 22:16:34,-20.5167,57.5167,70.18,78,40,8.05
132,Hudson Bay,CA,2022-10-11 22:21:28,52.85,-102.3842,53.24,43,96,14.18
133,Flagstaff,US,2022-10-11 22:19:01,35.1981,-111.6513,71.53,46,100,5.75
134,Ponta Delgada,PT,2022-10-11 22:21:29,37.7333,-25.6667,71.51,83,75,3.44
135,Krasnozerskoye,RU,2022-10-11 22:21:30,53.9828,79.2374,48.18,73,100,7.14
136,Khatanga,RU,2022-10-11 22:12:08,71.9667,102.5,25.72,95,100,3.49
137,Hithadhoo,MV,2022-10-11 22:12:04,-0.6,73.0833,80.74,78,100,16.67
138,Port Lincoln,AU,2022-10-11 22:15:34,-34.7333,135.8667,55.83,78,55,8.03
139,Banda Aceh,ID,2022-10-11 22:21:31,5.5577,95.3222,78.17,81,86,8.7
