City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Martapura,ID,82.49,light rain,-3.4167,114.85,Montana Hotel Syariah
495,Atambua,ID,86.81,overcast clouds,-9.1061,124.8925,Ros Muskanan
497,Dangara,IN,84.22,clear sky,29.6799,75.8931,Mirchi Hotel & Restaurant Tohana
498,Kieta,PG,82.63,light rain,-6.2167,155.6333,Uruna Bay Retreat
501,Axim,GH,76.48,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
503,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
506,Saint-Louis,SN,80.13,clear sky,16.3333,-15.0,
507,Ranong,TH,85.93,broken clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
509,Razole,IN,83.32,light rain,16.4833,81.8333,Sterling Palavelli Godavari
511,Sao Filipe,CV,76.48,scattered clouds,14.8961,-24.4956,Hotel Xaguate
512,Cukai,MY,88.0,light rain,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
513,Kalmunai,LK,83.98,light rain,7.4167,81.8167,VS Villa
515,Nanakuli,US,80.55,clear sky,21.3906,-158.1547,Camp Pālehua
518,Dusti,TJ,75.6,clear sky,37.3481,68.664,Hotel Izzat
521,Minab,IR,86.32,haze,27.1467,57.0801,Bam campground
524,Laibin,CN,85.41,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
528,Beloha,MG,75.96,broken clouds,-25.1667,45.05,
531,Linfen,CN,75.25,broken clouds,36.0889,111.5189,Suoxing Hotel
534,Luoyang,CN,81.95,broken clouds,34.6836,112.4536,易家国际青年旅舍
536,Taua,BR,75.45,clear sky,-5.9667,-40.3,Chácara Paraíso
539,Soyo,AO,75.85,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
545,Magaria,NE,75.54,overcast clouds,12.9983,8.9099,Chez Honorable Chapiou
547,Edd,ER,89.11,scattered clouds,13.9297,41.6925,
549,Maumere,ID,86.11,overcast clouds,-8.6199,122.2111,Sylvia Hotel
554,Cayenne,GF,77.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
557,Rock Sound,BS,81.9,scattered clouds,24.9,-76.2,Pink Corral Bay Property
559,Mlonggo,ID,86.2,broken clouds,-6.5333,110.7,Asia Metal Art
561,Ternate,ID,85.55,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
562,Massakory,TD,79.27,broken clouds,12.996,15.7293,Chabakari - Am Doukhan
568,Gorontalo,ID,87.66,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
569,Kencong,ID,84.43,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
571,Nizwa,OM,85.53,scattered clouds,22.9333,57.5333,Orient Apartments
572,Denpasar,ID,85.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
575,Taoudenni,ML,84.42,scattered clouds,22.6783,-3.9836,
576,Labuhan,ID,87.37,light rain,-6.8844,112.2051,DoubleFAG
578,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
581,Khartoum,SD,83.01,broken clouds,15.5518,32.5324,Hotel China
583,Tondano,ID,86.09,overcast clouds,1.3038,124.9112,Villa Bella
584,Dohar,BD,85.98,clear sky,23.5883,90.1469,zaman cominitue center
586,Hirara,JP,84.06,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
587,Akyab,MM,87.75,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
589,Yeppoon,AU,82.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
592,Manggar,ID,85.91,overcast clouds,-2.8833,108.2667,Guest Hotel
602,Shimoda,JP,75.56,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
603,Margherita,IN,85.66,clear sky,27.2833,95.6833,Dehing Guest House
606,Kavaratti,IN,81.91,overcast clouds,10.5669,72.642,Green leaf
607,Celestun,MX,79.32,light rain,20.8667,-90.4,Posada Lilia
608,Jacqueville,CI,75.87,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
611,Pahasu,IN,82.69,clear sky,28.1833,78.05,Nagla Ghanshyam Pahasu
619,Puerto Colombia,CO,80.69,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
623,Ouagadougou,BF,78.93,clear sky,12.3642,-1.5383,Pacific Hôtel
624,Morondava,MG,77.7,clear sky,-20.2833,44.2833,La Case Bambou
630,Turbana,CO,81.41,light rain,10.2717,-75.4422,Cartagena Hills
646,Kismayo,SO,79.65,broken clouds,-0.3582,42.5454,Agan-Hotel
647,Phalombe,MW,76.06,broken clouds,-15.8064,35.6507,RIVONIA
651,Ushibuka,JP,75.31,light rain,32.1906,130.0228,Hotei
665,Mogadishu,SO,78.67,scattered clouds,2.0371,45.3438,Hotel Juba
669,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
673,Pailon,BO,76.1,overcast clouds,-17.65,-62.75,La plaza
