City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
148,Karasjok,NO,69.4719,25.5112,44.17,89,100,16.26,overcast clouds,2022-10-16 04:21:25
149,Kjollefjord,NO,70.9457,27.3465,46.45,87,20,12.66,light rain,2022-10-16 04:21:25
150,Skelleftea,SE,64.7507,20.9528,36.0,100,66,2.3,broken clouds,2022-10-16 04:21:25
151,Camopi,GF,3.1655,-52.3158,70.65,100,36,1.48,scattered clouds,2022-10-16 04:21:26
152,Port-Gentil,GA,-0.7193,8.7815,77.11,83,100,4.83,light rain,2022-10-16 04:21:26
153,Wanning,CN,18.8003,110.3967,82.26,56,72,12.39,broken clouds,2022-10-16 04:21:27
154,Farah,AF,32.5,62.5,73.06,12,0,4.38,clear sky,2022-10-16 04:21:28
155,Geraldton,AU,-28.7667,114.6,70.21,43,67,12.66,broken clouds,2022-10-16 04:20:26
156,Iskandar,UZ,41.5539,69.7008,61.65,17,62,1.14,broken clouds,2022-10-16 04:21:29
157,Rincon,US,32.296,-81.2354,70.86,82,0,0.0,clear sky,2022-10-16 04:21:29
158,Bethel,US,41.3712,-73.414,59.49,87,0,3.44,clear sky,2022-10-16 04:21:30
159,Chokurdakh,RU,70.6333,147.9167,11.41,91,100,9.82,overcast clouds,2022-10-16 04:21:30
160,Zakamensk,RU,50.3741,103.2863,36.12,37,3,3.98,clear sky,2022-10-16 04:21:31
161,Manicore,BR,-5.8092,-61.3003,73.26,96,100,1.14,overcast clouds,2022-10-16 04:21:31
162,Port Hedland,AU,-20.3167,118.5667,91.45,18,44,17.27,scattered clouds,2022-10-16 04:21:32
163,Suzhou,CN,31.3114,120.6181,74.77,50,2,7.2,clear sky,2022-10-16 04:21:32
164,Port Elizabeth,ZA,-33.918,25.5701,64.09,97,100,13.8,light rain,2022-10-16 04:21:33
165,Cabras,IT,39.93,8.5314,64.27,74,94,5.7,overcast clouds,2022-10-16 04:21:34
166,Kanker,IN,20.2719,81.4931,80.56,77,20,2.86,few clouds,2022-10-16 04:21:34
167,Sladkovo,RU,55.5284,70.3385,46.08,75,88,6.53,overcast clouds,2022-10-16 04:21:34
168,Roswell,US,34.0232,-84.3616,64.54,82,0,0.0,clear sky,2022-10-16 04:19:50
169,Ancud,CL,-41.8697,-73.8203,46.53,93,69,2.46,broken clouds,2022-10-16 04:14:55
170,Ponta Delgada,PT,37.7333,-25.6667,65.5,72,20,9.22,light rain,2022-10-16 04:21:36
171,Deputatskiy,RU,69.3,139.9,13.93,93,100,3.56,overcast clouds,2022-10-16 04:21:36
172,Solntsevo,RU,51.4185,36.7499,28.74,80,6,4.36,clear sky,2022-10-16 04:21:36
173,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,40,10.36,scattered clouds,2022-10-16 04:16:22
174,Komsomolskiy,UZ,40.4272,71.7189,66.92,32,37,2.3,scattered clouds,2022-10-16 04:21:37
175,Porto Belo,BR,-27.1578,-48.5531,66.15,94,100,7.96,overcast clouds,2022-10-16 04:21:38
176,Atzitzintla,MX,18.9,-97.3167,50.22,94,90,5.57,overcast clouds,2022-10-16 04:21:38
177,Sungairaya,ID,0.7,108.9,87.33,63,99,5.99,overcast clouds,2022-10-16 04:21:39
178,Marystown,CA,47.1666,-55.1483,52.5,90,100,10.0,overcast clouds,2022-10-16 04:21:39
179,Launceston,AU,-41.45,147.1667,60.44,38,40,10.36,scattered clouds,2022-10-16 04:21:40
180,Kaitangata,NZ,-46.2817,169.8464,53.98,91,87,4.09,overcast clouds,2022-10-16 04:16:16
181,Kryva,UA,48.1723,23.2365,48.69,91,3,3.71,clear sky,2022-10-16 04:21:41
182,Beringovskiy,RU,63.05,179.3167,28.08,68,100,17.87,overcast clouds,2022-10-16 04:21:41
183,Pitsunda,GE,43.1592,40.3378,57.38,61,75,3.76,broken clouds,2022-10-16 04:21:42
184,Nizhniy Odes,RU,63.6445,54.856,38.43,96,100,3.65,overcast clouds,2022-10-16 04:21:42
185,Klaksvik,FO,62.2266,-6.589,47.32,90,100,24.65,light rain,2022-10-16 04:22:43
186,Adrar,MR,20.5022,-10.0711,84.34,23,42,8.3,scattered clouds,2022-10-16 04:22:43
187,Sorong,ID,-0.8833,131.25,84.07,69,23,3.58,few clouds,2022-10-16 04:22:44
188,Norman Wells,CA,65.282,-126.8329,28.44,69,100,19.57,light snow,2022-10-16 04:16:34
189,Tiarei,PF,-17.5333,-149.3333,80.62,75,23,16.49,few clouds,2022-10-16 04:22:45
190,Nikolskoye,RU,59.7035,30.7861,48.09,86,98,9.24,overcast clouds,2022-10-16 04:22:45
191,Tuatapere,NZ,-46.1333,167.6833,58.24,70,29,4.43,scattered clouds,2022-10-16 04:22:46
192,La Ronge,CA,55.1001,-105.2842,30.45,59,0,6.91,clear sky,2022-10-16 04:22:46
193,Pevek,RU,69.7008,170.3133,16.59,94,98,2.26,overcast clouds,2022-10-16 04:22:47
194,Boende,CD,-0.2167,20.8667,69.26,90,99,1.86,overcast clouds,2022-10-16 04:22:47
195,Kuching,MY,1.55,110.3333,88.02,74,40,3.44,scattered clouds,2022-10-16 04:22:48
196,Bulungu,CD,-4.55,18.6,69.28,99,100,2.28,moderate rain,2022-10-16 04:22:48
197,Khuzdar,PK,27.7384,66.6434,72.27,10,0,3.51,clear sky,2022-10-16 04:22:49
198,Ponta Do Sol,PT,32.6667,-17.1,69.71,76,28,3.04,scattered clouds,2022-10-16 04:22:49
199,Pisco,PE,-13.7,-76.2167,59.05,88,6,11.5,clear sky,2022-10-16 04:22:50
200,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,11.5,scattered clouds,2022-10-16 04:15:08
201,La Romana,DO,18.4273,-68.9728,75.52,89,41,5.97,scattered clouds,2022-10-16 04:22:51
202,Broome,US,42.2506,-75.833,48.16,85,0,8.05,clear sky,2022-10-16 04:16:16
203,Llanes,ES,43.4198,-4.7549,67.89,80,91,4.72,overcast clouds,2022-10-16 04:22:52
204,Saint-Philippe,RE,-21.3585,55.7679,74.79,66,31,10.36,scattered clouds,2022-10-16 04:22:52
205,Tasiilaq,GL,65.6145,-37.6368,30.36,60,7,8.46,clear sky,2022-10-16 04:16:28
206,Sangmelima,CM,2.9333,11.9833,67.06,100,100,0.76,moderate rain,2022-10-16 04:22:53
207,Chuy,UY,-33.6971,-53.4616,57.0,93,100,13.49,overcast clouds,2022-10-16 04:22:53
208,Hofn,IS,64.2539,-15.2082,40.01,60,34,21.43,scattered clouds,2022-10-16 04:22:54
209,Sept-Iles,CA,50.2001,-66.3821,48.72,99,100,14.97,mist,2022-10-16 04:22:54
210,Neiafu,TO,-18.65,-173.9833,83.08,78,20,9.22,few clouds,2022-10-16 04:22:55
211,Nioro,GM,13.35,-15.75,74.21,92,42,3.13,light rain,2022-10-16 04:22:56
212,Lincoln,US,40.8,-96.667,57.34,64,0,5.75,clear sky,2022-10-16 04:20:39
213,Urucara,BR,-2.5364,-57.76,72.91,96,97,2.84,overcast clouds,2022-10-16 04:22:57
214,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,0.0,light intensity drizzle,2022-10-16 04:22:57
215,Vassouras,BR,-22.4039,-43.6625,64.26,89,99,1.28,overcast clouds,2022-10-16 04:22:58
216,Aykhal,RU,66.0,111.5,26.67,88,97,4.43,overcast clouds,2022-10-16 04:22:58
217,Robertsport,LR,6.7533,-11.3686,74.84,90,100,5.86,light rain,2022-10-16 04:22:59
218,Marawi,PH,7.9986,124.2928,83.28,59,71,5.99,broken clouds,2022-10-16 04:22:59
