City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Vila Velha,BR,2022-10-13 02:12:16,-20.3297,-40.2925,75.15,83,0,9.22
124,Tiksi,RU,2022-10-13 02:12:16,71.6872,128.8694,21.92,86,100,7.11
125,Kaitangata,NZ,2022-10-13 02:12:17,-46.2817,169.8464,53.56,56,22,9.24
126,Atuona,PF,2022-10-13 02:12:18,-9.8,-139.0333,77.23,79,13,20.02
127,Cayenne,GF,2022-10-13 02:12:18,4.9333,-52.3333,75.24,94,100,2.3
128,Bethel,US,2022-10-13 02:10:13,41.3712,-73.414,60.66,87,0,5.75
129,Sunagawa,JP,2022-10-13 02:12:19,43.4864,141.9056,58.6,53,0,2.62
130,Barra Do Garcas,BR,2022-10-13 02:12:20,-15.89,-52.2567,77.4,54,42,3.71
131,Peleduy,RU,2022-10-13 02:12:15,59.6289,112.7406,36.79,89,100,6.69
132,Alofi,NU,2022-10-13 02:12:21,-19.0595,-169.9187,78.39,79,2,11.07
133,Kihei,US,2022-10-13 02:12:22,20.785,-156.4656,87.82,79,40,6.91
134,Aromashevo,RU,2022-10-13 02:13:23,56.8602,68.6375,38.62,76,60,7.52
135,Oyotun,PE,2022-10-13 02:13:23,-6.8519,-79.3036,69.19,70,10,3.2
136,Atuntaqui,EC,2022-10-13 02:13:23,0.3333,-78.2167,56.43,93,83,3.29
137,Lasa,IT,2022-10-13 02:13:24,46.6166,10.7002,50.36,90,5,1.61
138,Red Deer,CA,2022-10-13 02:13:24,52.2668,-113.802,45.28,54,8,3.74
139,Tecpatan,MX,2022-10-13 02:13:25,17.1333,-93.3,71.78,97,98,1.43
140,Burgeo,CA,2022-10-13 02:13:25,47.6167,-57.6152,48.65,80,6,6.62
141,Yagodnoye,RU,2022-10-13 02:13:26,62.55,149.6667,20.46,92,100,1.74
142,Ponta Grossa,BR,2022-10-13 02:13:26,-25.095,-50.1619,60.12,97,99,3.31
143,Puerto Escondido,MX,2022-10-13 02:11:57,15.85,-97.0667,80.62,87,99,6.55
144,Chamba,IN,2022-10-13 02:13:27,32.5667,76.1333,62.08,68,5,7.09
145,Cape Town,ZA,2022-10-13 02:10:21,-33.9258,18.4232,63.27,88,100,5.99
146,Wanning,CN,2022-10-13 02:13:28,18.8003,110.3967,78.06,63,71,15.28
147,Hermanus,ZA,2022-10-13 02:13:29,-34.4187,19.2345,64.8,89,93,4.74
148,Georgetown,MY,2022-10-13 02:10:42,5.4112,100.3354,82.33,84,20,2.3
149,Hit,IQ,2022-10-13 02:13:29,33.6416,42.8251,74.1,29,86,2.98
150,Wanaka,NZ,2022-10-13 02:13:30,-44.7,169.15,55.13,56,18,4.65
151,Ternate,ID,2022-10-13 02:13:31,0.8,127.4,83.37,74,70,5.75
152,Kiama,AU,2022-10-13 02:13:31,-34.6833,150.8667,69.39,69,99,10.0
153,Sedhiou,SN,2022-10-13 02:13:32,12.7081,-15.5569,75.07,94,62,4.76
154,Renfrew,GB,2022-10-13 02:13:32,55.872,-4.3925,44.15,93,20,3.44
155,Pacific Grove,US,2022-10-13 02:13:33,36.6177,-121.9166,61.21,87,100,6.91
156,Pisco,PE,2022-10-13 02:13:34,-13.7,-76.2167,60.03,82,0,14.97
157,San Cristobal,VE,2022-10-13 02:13:34,7.7669,-72.225,69.98,96,98,1.86
158,Chapais,CA,2022-10-13 02:13:35,49.7834,-74.8492,49.64,88,100,13.51
159,Beringovskiy,RU,2022-10-13 02:13:35,63.05,179.3167,32.72,63,92,6.73
160,Harrisburg,US,2022-10-13 02:11:57,40.2737,-76.8844,63.75,77,20,9.22
161,Vestmannaeyjar,IS,2022-10-13 02:13:36,63.4427,-20.2734,42.58,74,22,2.57
162,Nyurba,RU,2022-10-13 02:13:37,63.2842,118.3319,33.98,99,100,5.3
163,Raudeberg,NO,2022-10-13 02:13:37,61.9875,5.1352,45.95,1,100,10.98
164,Ayan,RU,2022-10-13 02:12:36,56.45,138.1667,41.86,51,57,2.55
165,Dingle,PH,2022-10-13 02:13:38,10.9995,122.6711,85.32,74,100,10.45
166,Katsuura,JP,2022-10-13 02:13:39,35.1333,140.3,66.58,94,100,19.24
167,San Lazaro,BZ,2022-10-13 02:13:39,18.0387,-88.6622,75.7,96,100,4.03
168,Sorland,NO,2022-10-13 02:13:40,67.667,12.6934,49.86,93,100,30.42
169,Barrancas,CO,2022-10-13 02:13:40,10.9576,-72.7877,75.67,94,100,2.37
170,Kodiak,US,2022-10-13 02:12:48,57.79,-152.4072,42.31,49,0,17.27
171,Verkhnevilyuysk,RU,2022-10-13 02:13:41,63.4453,120.3167,34.23,99,100,4.65
172,Tandil,AR,2022-10-13 02:13:42,-37.3217,-59.1332,54.68,43,96,6.06
173,Tsurib,RU,2022-10-13 02:13:42,42.2368,46.8307,38.44,61,79,5.73
174,Barstow,US,2022-10-13 02:13:43,34.8986,-117.0228,81.59,33,60,10.27
175,Morales,CO,2022-10-13 02:13:43,2.757,-76.6172,61.0,98,100,1.14
176,Tigil,RU,2022-10-13 02:13:44,57.8,158.6667,42.73,65,100,1.68
177,Ozernovskiy,RU,2022-10-13 02:13:45,51.5,156.5167,43.3,78,100,31.85
178,Molochnoye,RU,2022-10-13 02:13:46,59.2917,39.6787,40.98,87,95,6.73
179,Ponta Delgada,PT,2022-10-13 02:13:47,37.7333,-25.6667,70.52,73,75,4.61
180,Puerto Madryn,AR,2022-10-13 02:10:56,-42.7692,-65.0385,49.51,36,4,13.2
181,Sarangani,PH,2022-10-13 02:14:47,5.4033,125.4636,84.79,73,46,14.72
182,Melipilla,CL,2022-10-13 02:14:48,-33.7,-71.2167,47.21,81,3,0.94
183,Huaraz,PE,2022-10-13 02:11:37,-9.5333,-77.5333,54.25,73,86,1.57
184,Wadsworth,US,2022-10-13 02:10:34,41.0256,-81.7299,64.51,91,100,4.0
185,Paamiut,GL,2022-10-13 02:14:49,61.994,-49.6678,23.58,50,0,7.78
186,Puerto Padre,CU,2022-10-13 02:14:49,21.195,-76.6028,77.36,91,44,7.67
187,Salalah,OM,2022-10-13 02:14:50,17.0151,54.0924,75.29,78,0,5.75
188,Ola,RU,2022-10-13 02:14:50,59.5833,151.2833,32.14,88,100,2.75
189,Khatanga,RU,2022-10-13 02:11:13,71.9667,102.5,24.37,97,95,6.53
190,Narsaq,GL,2022-10-13 02:14:51,60.9167,-46.05,26.82,69,0,8.66
191,Paracuru,BR,2022-10-13 02:14:52,-3.41,-39.0306,80.11,84,16,14.56
192,Micheweni,TZ,2022-10-13 02:14:52,-4.9667,39.8333,72.95,79,6,10.8
193,Aykhal,RU,2022-10-13 02:14:53,66.0,111.5,28.18,96,98,6.06
194,Port-Gentil,GA,2022-10-13 02:14:53,-0.7193,8.7815,78.19,84,100,9.53
195,Sitka,US,2022-10-13 02:14:54,57.0531,-135.33,60.69,72,100,11.5
196,Alice Springs,AU,2022-10-13 02:14:55,-23.7,133.8833,65.75,48,100,13.8
197,Kalmunai,LK,2022-10-13 02:14:55,7.4167,81.8167,79.68,82,85,7.58
198,Sao Miguel Do Araguaia,BR,2022-10-13 02:14:56,-13.275,-50.1628,81.1,26,20,4.21
199,Iqaluit,CA,2022-10-13 02:14:56,63.7506,-68.5145,20.93,85,20,3.44
200,Bonthe,SL,2022-10-13 02:14:57,7.5264,-12.505,75.22,89,90,4.43
201,Koshurnikovo,RU,2022-10-13 02:14:57,54.1667,93.3,34.3,85,98,6.13
202,Airai,TL,2022-10-13 02:13:54,-8.9266,125.4092,73.89,58,8,1.97
203,Axim,GH,2022-10-13 02:14:58,4.8699,-2.2405,76.44,88,98,6.69
204,Portland,US,2022-10-13 02:14:19,45.5234,-122.6762,73.35,60,0,1.99
205,Dunedin,NZ,2022-10-13 02:14:59,-45.8742,170.5036,52.81,67,12,11.01
206,Goderich,CA,2022-10-13 02:14:59,43.7501,-81.7165,61.12,94,100,16.11
207,Ushirombo,TZ,2022-10-13 02:14:59,-3.4919,31.9639,63.91,52,38,1.23
208,Batticaloa,LK,2022-10-13 02:15:00,7.7102,81.6924,79.86,82,71,7.49
209,Nome,US,2022-10-13 02:15:00,64.5011,-165.4064,36.16,69,75,0.0
210,Springfield,US,2022-10-13 02:15:01,37.2153,-93.2982,60.87,66,0,5.75
211,Nara,JP,2022-10-13 02:10:08,34.6851,135.8049,75.49,36,52,6.2
212,Pedernales,DO,2022-10-13 02:15:02,18.0384,-71.744,81.18,73,100,4.85
213,Whitehorse,CA,2022-10-13 02:11:36,60.7161,-135.0538,40.01,97,100,8.12
214,Luderitz,NA,2022-10-13 02:15:03,-26.6481,15.1594,60.84,80,11,9.53
215,Anadyr,RU,2022-10-13 02:15:04,64.75,177.4833,26.49,58,0,8.95
216,Thohoyandou,ZA,2022-10-13 02:15:05,-22.9456,30.485,69.04,34,0,3.83
217,Nishihara,JP,2022-10-13 02:15:05,26.1842,127.7558,83.68,74,75,19.57
218,Bathsheba,BB,2022-10-13 02:15:06,13.2167,-59.5167,81.21,83,20,12.66
219,Ribeira Grande,PT,2022-10-13 02:11:26,38.5167,-28.7,72.77,80,94,7.0
220,Kolokani,ML,2022-10-13 02:15:07,13.5728,-8.0339,75.92,65,35,5.28
221,Sabang,ID,2022-10-13 02:15:07,5.8933,95.3214,81.01,75,68,8.63
